ID,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,yr1,yr2,north,south,year,region
RD-X24,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2015,north
RD-X23,0,0,0,0,0,0,1,1,1,1,0,1,1,0,2015,north
RD-X21,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2015,north
RD-X13,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2015,north
RD-X12,0,0,0,0,1,1,1,1,1,0,0,1,1,0,2015,north
RD-X04,0,0,0,0,0,0,1,1,1,0,0,1,1,0,2015,north
RD-X02,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2015,north
RD-W99,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2015,north
RD-W96,0,0,0,1,1,1,1,1,1,1,0,1,1,0,2015,north
RD-W95,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2015,north
RD-W89,0,0,0,1,0,1,0,1,1,1,0,1,1,0,2015,north
RD-W88,0,0,1,1,0,1,1,1,0,0,0,1,1,0,2015,north
RD-W87,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2015,north
RD-W86,0,0,1,1,0,0,1,1,1,0,0,1,1,0,2015,north
RD-W85,0,0,1,1,1,0,0,0,0,0,0,1,1,0,2015,north
RD-W84,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2015,north
RD-W83,0,1,1,0,1,1,1,0,0,0,0,1,1,0,2015,north
RD-W79,0,0,1,1,1,0,0,1,0,0,0,1,1,0,2015,north
RD-W78,0,0,1,1,1,1,0,0,0,0,0,1,1,0,2015,north
RD-W77,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-W76,0,0,1,1,0,1,0,0,0,0,0,1,1,0,2015,north
RD-W75,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-W74,0,0,0,1,1,1,1,0,0,1,0,1,1,0,2015,north
RD-W73,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-W72,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2015,north
RD-W69,0,0,1,1,1,1,1,1,1,0,0,1,1,0,2015,north
